20220524	22:02:43	1ffc071b-74c3-488c-b164-abcd341e4654	GET	undefined	/logout
20220524	22:03:07	59a439d7-a1bc-463c-be7d-a4395a97d07d	POST	undefined	/auth
20220524	22:03:17	4837cb0d-ede5-46b6-a8c0-71a1747f79da	GET	undefined	/logout
20220524	22:05:33	52c31ca7-a488-41ec-9760-3b4496056e24	POST	undefined	/auth
20220524	22:06:07	e8130434-e724-40f9-a758-e868f64a6c16	GET	undefined	/refresh
20220525	00:28:59	95e11c63-dd5c-4ffe-9167-56f36d092ee6	GET	undefined	/employees
20220525	00:29:32	3f08930a-8efa-4052-92cf-b8e6eb56a993	POST	undefined	/auth
20220525	00:29:57	78aa5251-67dc-4686-9651-f595d99a659a	GET	undefined	/employees
20220525	00:31:50	97358322-381d-44c3-a682-db8ee11f1135	POST	undefined	/auth
20220525	00:32:15	7c138287-b0f6-4b32-992f-6cdfd821e261	GET	undefined	/employees
20220525	00:34:42	4861c78c-3ae0-4cdb-9abd-56b41d0c3346	GET	undefined	/employees/628c65172f6e4fc01acc1ac4
20220525	00:35:01	defdaeb8-6c0c-4846-9f0e-a263467fc709	POST	undefined	/auth
20220525	00:35:20	c506d3e6-0245-485a-af30-6d656859d6ed	GET	undefined	/employees/628c65172f6e4fc01acc1ac4
20220525	00:35:49	4096406c-b82b-4f21-8469-f5c68d106094	GET	undefined	/employees/628c65172f6e4fc01acc1ac4
20220525	00:36:47	ce2e7666-364d-4675-92fd-c567c3e56030	POST	undefined	/auth
20220525	00:37:30	3b731e6b-70fe-417e-940c-994bf6726a84	GET	undefined	/employees
20220525	00:37:50	65f37459-29cb-4af8-82c7-bc6cc94a42fa	GET	undefined	/employee
20220525	00:42:05	36a2d86b-c8dd-4e9f-b98d-c393f61658eb	GET	undefined	/employees
20220525	00:43:19	ae209d96-6a71-4893-9583-31380d2f4d21	POST	undefined	/auth
20220525	00:44:21	056009cb-4e0d-4b56-b1fe-ab67bf314271	GET	undefined	/employees
20220525	00:44:43	e029d487-e054-4e8c-9ccf-c00ee714706c	POST	undefined	/auth
20220525	00:45:33	49eda3e6-ffe5-4f11-a20d-f4b00204e6f4	GET	undefined	/employees
20220525	00:49:44	149750fb-672d-4e86-8e39-d1ee3fe58851	POST	undefined	/auth
20220525	00:50:15	6c3919f4-f8d7-4810-b530-0dbbb656f15c	GET	undefined	/employees
20220525	00:54:06	136fea09-7cc4-41e7-9042-becbc630ff3f	POST	undefined	/auth
20220525	00:54:39	d466a9e1-eb88-4593-9dbb-d09875a904ab	GET	undefined	/employees
20220525	00:55:07	2d0fe0b9-7460-4fc9-b77e-5b0fecb8cd62	POST	undefined	/auth
20220525	00:55:30	03193040-68b7-42ec-854e-3e34014067a5	GET	undefined	/employees
